book_name,count,author,genre,isbn,isbn13,good_reads_url,num_pages,num_rating,avg_rating
The Roots of Obama's Rage,679,D'Souza; Dinesh,non-fiction,1596986255,9781596986251,258,1705.0,4.13
Stranger in a Strange Land,674,Heinlein; Robert A.,fiction,0441788386,9780441788385,528,205583.0,3.89
The Federalist Papers,672,Hamilton; Alexander,non-fiction,0451528816,9780451528810,688,24506.0,4.02
My Sister's Keeper,672,Picoult; Jodi,fiction,0743454537,9780743454537,423,793939.0,4.05
The Godfather,671,Puzo; Mario,fiction,0451205766,9780451205766,448,241021.0,4.35
The Joy Luck Club,667,Tan; Amy,fiction,0143038095,9780143038092,288,492163.0,3.88
Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,667,Sorkin; Andrew Ross,fiction,0670021253,9780670021253,600,22913.0,4.05
The Purpose Driven Life: What on Earth Am I Here for?,661,Warren; Rick,fiction,0310276993,9780310276999,334,149170.0,3.86
The Little Prince,661,Saint-Exupéry; Antoine de,fiction,0156012197,9780156012195,98,637178.0,4.26
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years; #1),656,Maguire; Gregory,fiction,0060987103,9780060987107,426,487285.0,3.50
All the Light We Cannot See,656,Doerr; Anthony,fiction,1476746583,9781476746586,530,321126.0,4.31
Culture of Corruption: Obama and His Team of Tax Cheats; Crooks; and Cronies,655,Malkin; Michelle,non-fiction,1596981091,9781596981096,376,1413.0,3.97
The Gunslinger (The Dark Tower; #1),650,King; Stephen,fiction,0452284694,9780452284692,231,291308.0,4.00
Treason: Liberal Treachery from the Cold War to the War on Terrorism,648,Coulter; Ann,non-fiction,1400050324,9781400050321,368,2109.0,3.60
The Horse and His Boy (Chronicles of Narnia; #5),644,Lewis; C.S.,fiction,0439861365,9780439861366,224,181403.0,3.89
The Silence of the Lambs  (Hannibal Lecter; #2),639,Harris; Thomas,fiction,0099446782,9780099446781,338,328457.0,4.11
Bonhoeffer: Pastor; Martyr; Prophet; Spy,639,Metaxas; Eric,non-fiction,1595551387,9781595551382,608,34944.0,4.21
The Iliad,639,Homer,fiction,0140275363,9780140275360,683,234880.0,3.81
Misery,636,King; Stephen,fiction,0450417395,9780450417399,370,297348.0,4.07
The Golden Compass (His Dark Materials; #1),636,Pullman; Philip,fiction,0679879242,9780679879244,399,867050.0,3.91
Killing Floor (Jack Reacher; #1),635,Child; Lee,fiction,0515141429,9780515141429,525,150373.0,4.03
No; They Can't: Why Government Fails-But Individuals Succeed,634,Stossel; John,non-fiction,1451640943,9781451640946,306,922.0,4.26
The Stranger,633,Camus; Albert,fiction,,,123,401326.0,3.94
Siddhartha,633,Hesse; Hermann,fiction,0553208845,9780553208849,160,355470.0,3.97
Killing Jesus: A History,633,O'Reilly; Bill,fiction,0805098542,9780805098549,293,20260.0,3.86
A Short History of Nearly Everything,632,Bryson; Bill,fiction,076790818X,9780767908184,544,178253.0,4.17
American Assassin (Mitch Rapp; #1),630,Flynn; Vince,fiction,141659518X,9781416595182,435,39390.0,4.24
State of Fear,628,Crichton; Michael,fiction,0061015733,9780061015731,672,63843.0,3.68
David and Goliath: Underdogs; Misfits; and the Art of Battling Giants,628,Gladwell; Malcolm,non-fiction,0316204366,9780316204361,305,76957.0,3.86
Where the Red Fern Grows,627,Rawls; Wilson,fiction,0375806814,9780375806810,272,254483.0,4.02
Starship Troopers,627,Heinlein; Robert A.,fiction,0441783589,9780441783588,335,123652.0,3.98
Marley and Me: Life and Love With the World's Worst Dog,626,Grogan; John,fiction,0739461192,9780739461198,291,329627.0,4.10
